Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Datenschutz;(data protection);Juristisch: Je nach Betrachtungsweise wird Datenschutz verstanden als Schutz vor missbräuchlicher Datenverarbeitung, Schutz des Rechts auf informationelle Selbstbestimmung, Schutz des Persönlichkeitsrechts bei der Datenverarbeitung oder Schutz der Privatsphäre. Datenschutz steht für die Idee, dass jeder Mensch grundsätzlich selbst entscheiden kann, wem wann welche seiner persönlichen Daten zugänglich sein sollen.;Quelle: Wikipedia. Online verfügbar unter http://de.wikipedia.org/wiki/Datenschutz, zuletzt geprüft am 10/10/2013.;"Je nach Betrachtungsweise wird Datenschutz verstanden als Schutz vor missbräuchlicher Datenverarbeitung, Schutz des Rechts auf informationelle Selbstbestimmung, Schutz des Persönlichkeitsrechts bei der Datenverarbeitung oder Schutz der Privatsphäre. Datenschutz steht für die Idee, dass jeder Mensch grundsätzlich selbst entscheiden kann, wem wann welche seiner persönlichen Daten zugänglich sein sollen.
Quelle: Wikipedia. Online verfügbar unter http://de.wikipedia.org/wiki/Datenschutz, zuletzt geprüft am 10/10/2013.
Juristisch:
Insbesondere Daten über die Gesundheit und die Intimsphäre gelten als besonders schützenswert. Dabei gelten als Angaben über die Gesundheit alle Informationen, die direkt oder indirekt Rückschlüsse über den physischen oder psychischen Gesundheitszustand einer Person zulassen. So dürfen Personendaten nur für den Zweck bearbeitet werden, der bei der Beschaffung angegeben wurde, aus den Umständen ersichtlich oder gesetzlich vorgesehen ist. Für die Beschaffung besonders schützenswerter Personendaten besteht eine Informationspflicht. Die Persönlichkeit der betroffenen Person darf durch die Bearbeitung ihrer Daten nicht widerrechtlich verletzt werden. Wie beim zivilrechtlichen Persönlichkeitsschutz kann eine Persönlichkeitsverletzung durch die Einwilligung der betroffenen Person, durch ein überwiegendes Interesse oder durch Gesetz gerechtfertigt werden. Das Datenschutzgesetz enthält für das Bearbeiten von Personendaten in der Forschung gewisse Erleichterungen (Forschungsprivilegien). So fällt ein überwiegendes Interesse der bearbeitenden Person in Betracht, wenn diese Personendaten zu nicht personenbezogenen Zwecken (wie zur Forschung) bearbeitet und die Ergebnisse so veröffentlicht werden, dass die betroffenen Personen nicht bestimmbar sind. Auch Bundesorgane dürfen Personendaten zu nicht personenbezogenen Zwecken bearbeiten, wenn u.a. die Daten anonymisiert werden, sobald es der Zweck des Bearbeitens erlaubt. Sind diese Voraussetzungen erfüllt, so ist eine Einwilligung der betroffenen Person nicht notwendig. Dies gilt selbst dann, wenn die Bearbeitung besonders schützenswerter Personendaten in der Forschung durch die betroffene Person vorgängig ausdrücklich untersagt wurde. 
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=78
Deklaration von Helsinki des Weltärzteverbundes;(Declaration of Helsinki by the World Medical Association);Der Weltärztebund hat mit der Deklaration von Helsinki eine Erklärung ethischer Grundsätze für medizinische Forschung am Menschen, einschliesslich der Forschung an identifizierbaren menschlichen Materialien und Daten, entwickelt.;Quelle: Weltärztebund (2008) Deklaration von Helsinki. 59. WMA Generalversamlung Oktober 2008, Seoul (Korea). ;"Der Weltärztebund hat mit der Deklaration von Helsinki eine Erklärung ethischer Grundsätze für medizinische Forschung am Menschen, einschliesslich der Forschung an identifizierbaren menschlichen Materialien und Daten, entwickelt.
Quelle: Weltärztebund (2008) Deklaration von Helsinki. 59. WMA Generalversamlung Oktober 2008, Seoul (Korea).";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=81
Demographie;(demography);Wissenschaft, die sich mit der Beschreibung der Bevölkerung befasst, besonders mit Einwohnerzahlen, Bevölkerungsdichte, Mortalität, Fertilität, Altersverteilung, Migration etc.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Wissenschaft, die sich mit der Beschreibung der Bevölkerung befasst, besonders mit Einwohnerzahlen, Bevölkerungsdichte, Mortalität, Fertilität, Altersverteilung, Migration etc.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=82
Deskriptive Epidemiologie;(descriptive epidemiology);Befasst sich mit der Beschreibung der Häufigkeit bestimmter Erkrankungen oder Gesundheitsstörungen und deren Verteilung in der Bevölkerung.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Befasst sich mit der Beschreibung der Häufigkeit bestimmter Erkrankungen oder Gesundheitsstörungen und deren Verteilung in der Bevölkerung.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=83
Diagnostik;(diagnosis);Bestimmung einer Krankheit durch medizinisches Fachpersonal aufgrund erfolgter Befragung, Beobachtung und Untersuchung der festgestellten Symptome bzw. Befunde.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014. ;"Bestimmung einer Krankheit durch medizinisches Fachpersonal aufgrund erfolgter Befragung, Beobachtung und Untersuchung der festgestellten Symptome bzw. Befunde.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=85
Diagnostische Studie;(diagnostic study);Studie, in der diagnostische Verfahren bei Patienten mit einer bestimmten Krankheit beurteilt werden.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.;"Studie, in der diagnostische Verfahren bei Patienten mit einer bestimmten Krankheit beurteilt werden.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=86
Doppelblind-Studie;(double-blind study);Randomisierte klinische Studie, bei welcher weder Teilnehmer, noch der behandelnde Arzt weiss, welcher Studiengruppe der Patient angehört.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Randomisierte klinische Studie, bei welcher weder Teilnehmer, noch der behandelnde Arzt weiss, welcher Studiengruppe der Patient angehört.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=89
Dosis-Wirkungs-Beziehung;(dose-response relationship);Quantitativer Zusammenhang zwischen der Exposition gegenüber einem (Risiko-)Faktor (Schadstoff) und dessen epidemiologisch fassbarer Auswirkung (Erkrankungsrisiko und Erkrankungshäufigkeit). ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Quantitativer Zusammenhang zwischen der Exposition gegenüber einem (Risiko-)Faktor (Schadstoff) und dessen epidemiologisch fassbarer Auswirkung (Erkrankungsrisiko und Erkrankungshäufigkeit). 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=93
Dosisfindungsstudie;(dose-finding study);Eine Studie, in der mindestens zwei Dosierungen eines Medikaments untersucht werden, um herauszufinden, welche Dosis am wirksamsten ist und die wenigsten Nebenwirkungen hat.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine Studie, in der mindestens zwei Dosierungen eines Medikaments untersucht werden, um herauszufinden, welche Dosis am wirksamsten ist und die wenigsten Nebenwirkungen hat.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=92
Dreifachblind-Studie;(triple-blind study);Randomisierte klinische Studie, bei welcher weder der Teilnehmer, noch der behandelnde Arzt, noch derjenige, der die Ergebnisse beurteilt, weiss, in welcher Studiengruppe der Patient gehört.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Randomisierte klinische Studie, bei welcher weder der Teilnehmer, noch der behandelnde Arzt, noch derjenige, der die Ergebnisse beurteilt, weiss, in welcher Studiengruppe der Patient gehört.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=95
drug-safety monitoring;Laufende wissenschaftliche Begleitung und Überwachung eines Medikamentes nach erfolgter Registrierung und Einführung (insbesondere auch zur Erfassung unerwünschter und unbekannter Nebenwirkungen).;Laufende wissenschaftliche Begleitung und Überwachung eines Medikamentes nach erfolgter Registrierung und Einführung (insbesondere auch zur Erfassung unerwünschter und unbekannter Nebenwirkungen).;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=99
Effektivität;(effectiveness);Mass für die Wirksamkeit einer Massnahme (Intervention) oder eines Mitteleinsatzes. Bei der Effektivitätsbestimmung wird festgestellt, wie weit ein vorgegebenes Ziel durch die evaluierte Massnahme erreicht wird.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Wirksamkeit einer Massnahme (Intervention) oder eines Mitteleinsatzes. Bei der Effektivitätsbestimmung wird festgestellt, wie weit ein vorgegebenes Ziel durch die evaluierte Massnahme erreicht wird.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=101
Effizienz;(efficiency);Mass für die Wirtschaftlichkeit des Mitteleinsatzes oder Verhältnis zwischen Aufwand und Ertrag. Hohe Effizienz ist dann gegeben, wenn eine bestimmte Leistung mit einem möglichst geringen Aufwand erreicht wird.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Wirtschaftlichkeit des Mitteleinsatzes oder Verhältnis zwischen Aufwand und Ertrag. Hohe Effizienz ist dann gegeben, wenn eine bestimmte Leistung mit einem möglichst geringen Aufwand erreicht wird.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=103
Eigennützige Forschung;(research with a potential direct benefit);Juristisch: Ein Forschungsprojekt mit einem erwarteten direkten Nutzen liegt vor, wenn von diesem während oder unmittelbar nach Abschluss des Projekts für die teilnehmenden Personen eine Verbesserung ihrer Gesundheit erhofft werden kann. Erwartet werden darf dieser direkte Nutzen insbesondere aufgrund von Erfahrungen aus Tierversuchen, In-Vitro-Modellen oder anderen präklinischen Prüfungen. Forschung mit einem erwarteten direkten Nutzen soll somit neben dem Erkenntnisgewinn immer auch der Gesundheit der Personen dienen, da ein unmittelbarer diagnostischer, therapeutischer oder präventiver Nutzen angestrebt wird. Neben dem Begriff Forschung mit einem erwarteten direkten Nutzen werden in der einschlägigen Literatur auch die gleichbedeutenden Begriffe therapeutische Forschung und eigennützige Forschung verwendet. ;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter vom http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Ein Forschungsprojekt mit einem erwarteten direkten Nutzen liegt vor, wenn von diesem während oder unmittelbar nach Abschluss des Projekts für die teilnehmenden Personen eine Verbesserung ihrer Gesundheit erhofft werden kann. Erwartet werden darf dieser direkte Nutzen insbesondere aufgrund von Erfahrungen aus Tierversuchen, In-Vitro-Modellen oder anderen präklinischen Prüfungen. Forschung mit einem erwarteten direkten Nutzen soll somit neben dem Erkenntnisgewinn immer auch der Gesundheit der Personen dienen, da ein unmittelbarer diagnostischer, therapeutischer oder präventiver Nutzen angestrebt wird. Neben dem Begriff Forschung mit einem erwarteten direkten Nutzen werden in der einschlägigen Literatur auch die gleichbedeutenden Begriffe therapeutische Forschung und eigennützige Forschung verwendet. 
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter vom http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=104
Einfachblind-Studie ;(single-blind study);Eine Studie gilt als einfachblind, wenn der Studienteilnehmende oder der Prüfarzt nicht weiss, ob er das Verum oder das Plazebo erhält resp. verabreicht.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Eine Studie gilt als einfachblind, wenn der Studienteilnehmende oder der Prüfarzt nicht weiss, ob er das Verum oder das Plazebo erhält resp. verabreicht.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=105
Einschlusskriterien;(inclusion criteria);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=200
Einwilligung in die Studie;(informed consent to the study);Juristisch: Forschung am Menschen darf nur durchgeführt werden, wenn gemäss den Bestimmungen dieses Gesetzes (HFG) die betroffene Person nach hinreichender Aufklärung eingewilligt oder nach entsprechender Information von ihrem Widerspruchsrecht keinen Gebrauch gemacht hat. Die betroffene Person kann ihre Einwilligung jederzeit ohne Begründung verweigern oder widerrufen.;Quelle: Art. 7 HFG;"Juristisch:
Forschung am Menschen darf nur durchgeführt werden, wenn gemäss den Bestimmungen dieses Gesetzes (HFG) die betroffene Person nach hinreichender Aufklärung eingewilligt oder nach entsprechender Information von ihrem Widerspruchsrecht keinen Gebrauch gemacht hat. Die betroffene Person kann ihre Einwilligung jederzeit ohne Begründung verweigern oder widerrufen.
Quelle: Art. 7 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=106
Einwilligungserklärung;(informed consent form);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=206
Elimination/Arzneimittel-Elimination;(elimination/drug elimination);Die Elimination bezeichnet pharmakokinetische Vorgänge des Abbaus bestimmter körperfremder Substanzen bis hin zu ihrer Ausscheidung. Hierbei spielen vor allem chemische Reaktionen in der Leber (Biotransformation) und die Ausscheidung über die Niere und Galle eine wichtige Rolle. ;Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Elimination_(Pharmakokinetik);"Die Elimination bezeichnet pharmakokinetische Vorgänge des Abbaus bestimmter körperfremder Substanzen bis hin zu ihrer Ausscheidung. Hierbei spielen vor allem chemische Reaktionen in der Leber (Biotransformation) und die Ausscheidung über die Niere und Galle eine wichtige Rolle. 
Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Elimination_(Pharmakokinetik)";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=107
